Bairros,IDH em 2010[8],populaçao em 2020
AEROLANDIA,0.311,12445
AEROPORTO,0.177,9442
ALDEOTA,0.867,46411
ALTO DA BALANÇA,0.347,14039
ALVARO WEYNE,0.365,25955
AMADEU FURTADO,0.588,12821
ANCURI,0.204,7372
ANTONIO BEZERRA,0.348,28316
ARACAPE,0.0,21048
AUTRAN NUNES,0.182,23235
BARRA DO CEARA,0.216,79346
BARROSO,0.187,32701
BELA VISTA,0.375,18355
BENFICA,0.618,14193
BOA VISTA,0.284,13418
BOM FUTURO,0.505,7016
BOM JARDIM,0.195,41368
BONSUCESSO,0.262,45136
CAIS DO PORTO,0.224,24521
CAJAZEIRAS,0.305,15862
CAMBEBA,0.518,8353
CANINDEZINHO,0.136,45140
CARLITO PAMPLONA,0.3,31856
CENTRO,0.557,31268
CIDADE 2000,0.562,9063
CIDADE DOS FUNCIONARIOS,0.572,20002
COAÇU,0.255,7875
COCO,0.762,22450
CONJUNTO CEARA I,0.36,21058
CONJUNTO CEARA II,0.362,25937
CONJUNTO ESPERANÇA,0.288,17973
CONJUNTO PALMEIRAS,0.119,5763
COUTO FERNANDES,0.361,29271
CRISTO REDENTOR,0.254,8367
CURIO,0.188,11744
DAMAS,0.511,12044
DE LOURDES,0.642,6176
DEMOCRITO ROCHA,0.369,13270
DENDE,0.181,17128
DIAS MACEDO,0.271,14405
DIONISIO TORRES,0.86,24333
DOM LUSTOSA,0.32,13216
EDSON QUEIROZ,0.35,25537
ELLERY,0.416,31657
ENGENHEIRO LUCIANO CAVALCANTE,0.522,57017
FARIAS BRITO,0.5,43443
FATIMA,0.695,7304
FLORESTA,0.224,5769
GENIBAU,0.139,29576
GRANJA LISBOA,0.17,13669
GRANJA PORTUGAL,0.19,24720
GUAJERU,0.289,15561
GUARARAPES,0.768,55306
HENRIQUE JORGE,0.341,13436
ITAOCA,0.373,11069
ITAPERI,0.368,32397
JACARECANGA,0.448,16345
JANGURUSSU,0.172,25400
JARDIM AMERICA,0.444,20157
JARDIM CEARENSE,0.318,25693
JARDIM DAS OLIVEIRAS,0.27,21178
JARDIM GUANABARA,0.325,9693
JARDIM IRACEMA,0.29,17533
JOAO XXIII,0.284,30620
JOAQUIM TAVORA,0.663,3693
JOQUEI CLUBE,0.406,17028
JOSE BONIFACIO,0.644,1583
JOSE DE ALENCAR,0.377,11127
JOSE WALTER,0.395,45675
LAGOA REDONDA,0.253,62264
MANUEL DIAS BRANCO,0.337,14479
MARAPONGA,0.39,28452
MEIRELES,0.953,4124
MESSEJANA,0.376,15061
MONDUBIM,0.233,22384
MONTE CASTELO,0.435,13320
MONTESE,0.473,14174
MOURA BRASIL,0.285,40097
MUCURIPE,0.793,9659
NOVO MONDUBIM,0.0,20128
OLAVO OLIVEIRA,0.23,33906
PADRE ANDRADE,0.361,7357
PANAMERICANO,0.373,29839
PAPICU,0.53,44190
PARANGABA,0.419,9213
PARQUE ARAXA,0.587,8248
PARQUE DOIS IRMAOS,0.251,7880
PARQUE IRACEMA,0.505,14618
PARQUE MANIBURA,0.578,14013
PARQUE SANTA ROSA,0.243,11489
PARQUE SAO JOSE,0.284,15814
PARQUELANDIA,0.628,12131
PARREAO,0.572,55809
PASSARE,0.225,16066
PAUPINA,0.246,1470
PEDRAS,0.264,46555
PICI,0.219,19474
PIRAMBU,0.23,43218
PLANALTO AYRTON SENNA,0.168,3431
PRAIA DE IRACEMA,0.72,7265
PRAIA DO FUTURO I,0.291,13100
PRAIA DO FUTURO II,0.168,40517
PRESIDENTE KENNEDY,0.429,36624
PRESIDENTE VARGAS,0.135,25203
QUINTINO CUNHA,0.223,38477
RODOLFO TEOFILO,0.482,20940
SABIAGUABA,0.267,2320
SALINAS,0.491,4708
SANTA MARIA,0.214,13107
SAO BENTO,0.198,15891
SAO GERARDO,0.594,30237
SAO JOAO DO TAUAPE,0.492,35232
SAPIRANGA / COITE,0.338,31518
SERRINHA,0.283,36845
SIQUEIRA,0.149,9226
VARJOTA,0.718,49870
VICENTE PINZON,0.331,8614
VILA MANOEL SATIRO,0.292,19197
VILA PERI,0.342,22619
VILA UNIAO,0.467,16848
VILA VELHA,0.272,67508
